Nom magasin;Adresse;Ville;Code postale;Téléphone;Catégories;Region;image name
O Pays des rêves;29 r Chévre;Metz;57000 ;03 87 78 21 86;Mode;Lorraine;IMG00484-20140101-1545.jpg
Glups;46 en Chaplerue;Metz;57000 ;03 87 32 59 84;Alimentaire;Lorraine;IMG00486-20140101-1545.jpg
King Jouet;21 en Chaplerue;Metz;57000 ;03 87 75 79 83;Maison;Lorraine;IMG00487-20140101-1546.jpg
Cyber Gun;40 en Chaplerue;Metz;57000 ;03 87 37 25 74;Divers;Lorraine;IMG00488-20140101-1546.jpg
La Compagnie des Petits;34 en Chaplerue;Metz;57000 ;03 87 36 60 10;Mode;Lorraine;IMG00489-20140101-1546.jpg
Lutin Botté;17 en Chaplerue;Metz;57000 ;03 87 75 19 81;Mode;Lorraine;IMG00490-20140101-1547.jpg
Catimini;30 en Chaplerue;Metz;57000 ;03 87 75 25 22;Mode;Lorraine;IMG00491-20140101-1547.jpg
Ikks Junior;15 en Chaplerue;Metz;57000 ;03 87 74 25 77;Mode;Lorraine;IMG00492-20140101-1547.jpg
Sergent Major;24 en Chaplerue;Metz;57000 ;03 87 36 66 33;Mode;Lorraine;IMG00494-20140101-1548.jpg
Ikks Men;20 en Chaplerue;Metz;57000 ;03 87 16 68 84;Mode;Lorraine;IMG00495-20140101-1548.jpg
MAJE;13 en Chaplerue;Metz;57000 ;03 87 16 63 38;Mode;Lorraine;IMG00496-20140101-1548.jpg
Exclusive;20 en Chaplerue;Metz;57000 ;03 87 75 75 74;Mode;Lorraine;IMG00497-20140101-1548.jpg
Du Pareil au Même;9 en Chaplerue;Metz;57000 ;03 87 36 99 02;Mode;Lorraine;IMG00500-20140101-1549.jpg
Bergère de France;10 en Chaplerue;Metz;57000 ;03 87 74 39 91;Mode;Lorraine;IMG00501-20140101-1549.jpg
Okaidi;8 en Chaplerue;Metz;57000 ;03 87 16 92 15;Mode;Lorraine;IMG00503-20140101-1550.jpg
MS Mode;7 en Chaplerue;Metz;57000 ;03 87 74 93 44;Mode;Lorraine;IMG00504-20140101-1550.jpg
Armand Thiery;7 en Chaplerue;Metz;57000 ;03 87 18 42 44;Mode;Lorraine;IMG00507-20140101-1551.jpg
Yves Rocher ;23 r Serpenoise;Metz;57000 ;03 87 37 06 06;Mode;Lorraine;IMG00508-20140101-1551.jpg
H & M;15 r Serpenoise;Metz;57000 ;03 87 18 77 50;Mode;Lorraine;IMG00509-20140101-1552.jpg
Linvosges;5 r Marguerite Puhl Demange;Metz;57000 ;03 87 76 51 91;Mode;Lorraine;IMG00511-20140101-1553.jpg
100 patates;14 r Marguerite Puhl Demange;Metz;57000 ;03 87 36 32 19;Alimentaire;Lorraine;IMG00512-20140101-1553.jpg
Swarovski;9 r Marguerite Puhl Demange;Metz;57000 ;03 87 35 08 45;Mode;Lorraine;IMG00514-20140101-1555.jpg
Darjeeling;20 r Marguerite Puhl Demange;Metz;57000 ;03 87 36 94 39;Mode;Lorraine;IMG00515-20140101-1555.jpg
