MCDONALD'S;101 Quai Colbert;LE HAVRE;76600;02 35 24 23 70;Alimentaire;Snack - Pizzéria;HAUTE NORMANDIE;alimentaire.png
BOKA;108 rue Jules Siegfried;LE HAVRE;76600;02 35 54 20 46;Alimentaire;Snack - Pizzéria;HAUTE NORMANDIE;alimentaire.png
MARMARIS;132 avenue Rene Coty;LE HAVRE;76600;02 35 43 16 99;Alimentaire;Snack - Pizzéria;HAUTE NORMANDIE;alimentaire.png
SUBWAY MAWIKA;14 avenue Foch;LE HAVRE;76600;09 82 24 92 54;Alimentaire;Snack - Pizzéria;HAUTE NORMANDIE;alimentaire.png
LE PACHA;156 Boulevard Strasbourg;LE HAVRE;76600;02 35 41 47 68;Alimentaire;Snack - Pizzéria;HAUTE NORMANDIE;alimentaire.png
SUR LE POUCE;167 rue Irene Joliot Curie;LE HAVRE;76620;02 35 21 35 46;Alimentaire;Snack - Pizzéria;HAUTE NORMANDIE;alimentaire.png
AKBAL KAMIL;174 rue Verdun;LE HAVRE;76600;02 35 47 71 59;Alimentaire;Snack - Pizzéria;HAUTE NORMANDIE;alimentaire.png
SARL LA PAUSE GOURMANDE;186 rue Paris;LE HAVRE;76600;02 35 22 89 78;Alimentaire;Snack - Pizzéria;HAUTE NORMANDIE;alimentaire.png
LA BRIOCHE DOREE;22 rue Casimir Perier;LE HAVRE;76600;02 35 21 01 08;Alimentaire;Snack - Pizzéria;HAUTE NORMANDIE;alimentaire.png
L' ARIZONA KEBAB;236 rue Aristide Briand;LE HAVRE;76600;02 35 49 29 68;Alimentaire;Snack - Pizzéria;HAUTE NORMANDIE;alimentaire.png
SPEED BURGER;260 rue du Bois Au Coq;LE HAVRE;76620;02 35 21 12 11;Alimentaire;Snack - Pizzéria;HAUTE NORMANDIE;alimentaire.png
ALANYA;265 avenue Bois Au Coq;LE HAVRE;76620;02 35 45 65 70;Alimentaire;Snack - Pizzéria;HAUTE NORMANDIE;alimentaire.png
LOCAL FOOD;29 Quai George V;LE HAVRE;76600;02 77 00 21 30;Alimentaire;Snack - Pizzéria;HAUTE NORMANDIE;alimentaire.png
