LE RENDEZ-VOUS DES AMIS;10 rue Sainte Croix la Bretonnerie;PARIS;75004;01 42 72 05 99;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
RESTAURANT DU DON CAMILLO;10 rue Saints Peres;PARIS;75007;01 42 60 82 84;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
BAR DES ARTISTES;10 rue Saulnier;PARIS;75009;01 47 70 50 88;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
LE PRE CADET;10 rue Saulnier;PARIS;75009;01 48 24 99 64;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
SWOON'S;10 rue Saussaies;PARIS;75008;01 42 68 00 02;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
INDUSTRIBIS;10 rue Sedaine;PARIS;75011;01 47 00 02 84;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
L'OSTERIA;10 rue Sevigne;PARIS;75004;01 42 71 37 08;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
LE TAJINE;10 rue Sophie Germain;PARIS;75014;01 43 27 56 49;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
LE RDC;10 rue Sorbier;PARIS;75020;01 43 58 30 14;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
L EQUIPAGE;10 rue Stockholm;PARIS;75008;01 45 22 04 12;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
AU DRAPEAU;10 rue Temple;PARIS;75004;01 42 72 02 88;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
APATAM CORNER CAFE;10 rue Thimonnier;PARIS;75009;01 77 16 01 44;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
LE VOLCAN;10 rue Thouin;PARIS;75005;01 46 33 30 36;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
TED BAKER FRANCE;10 rue Thouin;PARIS;75005;01 46 33 38 33;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
SALAD'CAFE;10 rue Toullier;PARIS;75005;01 40 51 74 55;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
AREA;10 rue Tournelles;PARIS;75004;01 42 72 96 50;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
LA CHAISE AU PLAFOND;10 rue Tresor;PARIS;75004;01 42 76 03 22;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
LA POUTRE;10 rue Trois Freres;PARIS;75018;01 42 51 57 65;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
EURL CHRISTIAN COSSON;10 rue Ulm;PARIS;75005;01 43 25 69 62;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
LES FOUGERES;10 rue Villebois Mareuil;PARIS;75017;01 40 68 78 65;Alimentaire;Restaurants;ILE DE FRANCE;alimentaire.png
